step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput,error
encrypt_batch_0,0.0,1.817451,2730209280,241856512,0.0,0.0,0.550221,
decrypt_batch_0,0.0,0.523139,3016552448,0,0.0,0.0,1.911537,
encrypt_batch_1,0.0,1.774524,3116658688,105259008,0.0,0.0,0.563532,
decrypt_batch_1,0.0,0.524697,3116658688,0,0.0,0.0,1.905864,
encrypt_batch_2,0.0,1.741126,3116793856,131072,0.0,0.0,0.574341,
decrypt_batch_2,0.0,0.524729,3116793856,0,0.0,0.0,1.905745,
encrypt_batch_3,0.0,0.620017,3116793856,0,0.0,0.0,1.612859,
decrypt_batch_3,0.0,0.174949,3116793856,0,0.0,0.0,5.715956,
