step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput,batch,nodes_in_batch,edges_in_batch,client_encryption_time,client_decryption_time,ciphertext_size_bytes,ct_x_batch_size_bytes,ct_W_list_size_bytes,total_ciphertext_batch_size_bytes
fhe_batch_0,5971.998809185985,2.340182392988936,4314931200,3868008448,3.1812755730395583,18998.573933884705,0.005021,0,30,30,1.8172483579983236,0.5229340349906124,390378691,377785830,12592861,390378691
fhe_batch_1,5949.78609740801,2.2988274520030245,4314554368,3868848128,3.1799078153965525,18919.771311085486,0.00504,1,30,30,1.774333306006156,0.5244941459968686,390378691,377785830,12592861,390378691
fhe_batch_2,5980.055768137012,2.2654617270018207,4314386432,3852148736,3.179815803082936,19015.475834839337,0.005015,2,30,30,1.7409446270030458,0.5245170999987749,390378691,377785830,12592861,390378691
fhe_batch_3,2061.0701435030205,0.7945622210099827,2426589184,1735491584,3.219775047113265,6636.182218401182,0.00485,3,10,10,0.6198341179988347,0.17472810301114805,138521471,125928610,12592861,138521471
