step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput,batch,nodes_in_batch,edges_in_batch,client_encryption_time,client_decryption_time,ciphertext_size_bytes,ct_x_batch_size_bytes,ct_W_list_size_bytes,total_ciphertext_batch_size_bytes
fhe_batch_0,512.2954182909996,1.7149934419999227,3198406656,1144061952,0.7301566815425324,374.05592258879983,0.03891,0,20,20,1.268183678000014,0.4468097639999087,264453609,251860580,12593029,264453609
fhe_batch_1,517.742718645,1.6449420000001282,3235115008,112996352,0.7306859535672067,378.3073320755998,0.038507,1,20,20,1.1917189010000584,0.45322309900006985,264453609,251860580,12593029,264453609
