step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
train_batch_0004_epoch_1_bootstrap_weights,41.064192,0.0,3663933440,0,0.0,0.0,0.024352
train_batch_0004_epoch_2_forward_backward_stream,1602.935169,0.0,3878580224,214646784,0.0,0.0,0.000624
train_batch_0004_epoch_2_weight_update,0.194295,0.0,3804258304,-74321920,0.0,0.0,5.146818
train_batch_0004_epoch_2_bootstrap_weights,40.596188,0.0,3737403392,-66854912,0.0,0.0,0.024633
train_batch_0004_epoch_3_forward_backward_stream,1595.559564,0.0,3811663872,74260480,0.0,0.0,0.000627
train_batch_0004_epoch_3_weight_update,0.186229,0.0,3811663872,0,0.0,0.0,5.369743
train_batch_0004_epoch_3_bootstrap_weights,40.535036,0.0,3811663872,0,0.0,0.0,0.02467
train_batch_0004_fhe_output_bootstrap,40.618945,0.0,3811954688,0,0.0,0.0,0.024619
train_batch_0005_1_linear,33.210352,0.0,3887505408,0,0.0,0.0,0.030111
train_batch_0005_2_attention,72.080165,0.0,3887505408,0,0.0,0.0,0.013873
train_batch_0005_3_leakyrelu,58.52807,0.0,4026073088,138567680,0.0,0.0,0.017086
train_batch_0005_4_bootstrap_after_pack,1245.424559,0.0,4081680384,55607296,0.0,0.0,0.000803
train_batch_0005_epoch_1_forward_backward_stream,1634.951984,0.0,3697356800,1639518208,0.0,0.0,0.000612
train_batch_0005_epoch_1_weight_update,0.186772,0.0,3697356800,0,0.0,0.0,5.354114
train_batch_0005_epoch_1_bootstrap_weights,41.473684,0.0,3624886272,-72470528,0.0,0.0,0.024112
train_batch_0005_epoch_2_forward_backward_stream,1620.106386,0.0,3878453248,253566976,0.0,0.0,0.000617
train_batch_0005_epoch_2_weight_update,0.188046,0.0,3878453248,0,0.0,0.0,5.317861
train_batch_0005_epoch_2_bootstrap_weights,41.348727,0.0,3804139520,-74313728,0.0,0.0,0.024185
train_batch_0005_epoch_3_forward_backward_stream,1608.541552,0.0,3888025600,83886080,0.0,0.0,0.000622
train_batch_0005_epoch_3_weight_update,0.189998,0.0,3888025600,0,0.0,0.0,5.263215
train_batch_0005_epoch_3_bootstrap_weights,41.083215,0.0,3887505408,-520192,0.0,0.0,0.024341
